id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,lat_estacion_origen,long_estacion_origen
101BAEcobici,101 - Fitz Roy,Fitz Roy  1092 & Loyola,-34.5891857,-58.4424397
102BAEcobici,102 - ROSETI,50 Roseti & Dorrego Av.,-34.5864287,-58.4458199
104BAEcobici,104 - Federico Lacroze,Av. Guzman 1100 & Av. Corrientes,-34.587617,-58.455212
105BAEcobici,105 - 15 DE NOVIEMBRE,2687 15 De Noviembre De 1889 & Catamarca,-34.6340844,-58.4008662
106BAEcobici,106 - RINCÓN,Venezuela 2091,-34.6152509,-58.3958827
107BAEcobici,107 - HOSPITAL GARRAHAN,Brasil & Pichincha,-34.630374,-58.395852000000005
10BAEcobici,KP1808000368,"1600 Moreau De Justo, Alicia Av.",-34.62,-58.37
110BAEcobici,110 - Guardia Vieja,3620 Guarda Vieja,-34.601738,-58.415434
111BAEcobici,111 - MACACHA GUEMES,Machaca Guemes 350,-34.605487700000005,-58.3646858
112BAEcobici,112 - 9 de Julio,Bernardo Irigoyen 320,-34.612075,-58.380384
114BAEcobici,114 - DELLA PAOLERA,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem",-34.5949745,-58.3722554
115BAEcobici,115 - QUINTANA,"Av Pres Manuel Quintana 600. & Haedo, Eduardo V., Pres.",-34.587800099999995,-58.39083620000001
116BAEcobici,116 - HOSPITAL ALEMÁN,Beruti & Ecuador,-34.5921708,-58.4025894
117BAEcobici,117 - HUMBERTO 1°,Peru  1016,-34.6201008,-58.3741759
118BAEcobici,118 - MEXICO,Saavedra & Mexico,-34.6170196,-58.4026531
119BAEcobici,119 - EMILIO MITRE,"Pacheco De Melo, Jose Andres",-34.5885608,-58.3973293
11BAEcobici,011 - Tribunales,600 Talcahuano,-34.601176200000005,-58.3850791
120BAEcobici,120 - HOSPITAL RAMOS MEJIA,3084 Agrelo,-34.617509000000005,-58.409287600000006
121BAEcobici,121 - YATAY,925 Yatay& Humahuaca,-34.601173200000005,-58.4285093
122BAEcobici,122 - COSTA RICA,Costa Rica 4090,-34.5916569,-58.4204199
124BAEcobici,124 - UGARTECHE,3050 Ugarteche,-34.580538,-58.411965
126BAEcobici,126 - Ministerio de Justicia y Seguridad,"Regimiento De Patricios Av. & Araoz De Lamadrid, Gregorio, Gral.",-34.640267200000004,-58.3692243
127BAEcobici,127 - SANTOS DUMONT Y OTERO,"4392 Dumont, Santos & Otero",-34.5923884,-58.453077
128BAEcobici,128 - PARQUE DEL BAJO,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General",-34.6041138,-58.3689118
12BAEcobici,012 - Plaza Vicente Lopez,Parana & Juncal,-34.5927096,-58.38880699999999
130BAEcobici,130 - RETIRO II,"Ramos Mejia, Av Dr Jose Maria & Av. Del Libertador",-34.592105600000004,-58.3745419
131BAEcobici,131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",-34.59840429999999,-58.3990158
132BAEcobici,132 - CORRIENTES,Reconquista & Corrientes Av.,-34.6033685,-58.372763
134BAEcobici,134 - SOLDADO DE LA FRONTERA,Soldado de la Frontera 4999,-34.68294,-58.4659
135BAEcobici,135 - MARCELO T. DE ALVEAR,902 Esmeralda,-34.5972818,-58.3787856
137BAEcobici,137 - AZOPARDO Y CHILE,AZOPARDO 700,-34.6155977,-58.3674923
